2026-03-17 16:09:03 [INFO   ] EmbedSim.sink — EmbedSim init  T=0.01 s  dt=1e-06 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\sink_20260317_160903.log
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000006 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000007 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000007 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000007 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000007 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00006  t=0.000007 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000007 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000008 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000008 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000008 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000008 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00007  t=0.000008 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000008 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000009 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000009 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000009 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000009 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00008  t=0.000009 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000009 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000009 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000009 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000009 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000009 s  sink                            (VectorEnd)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000010 s  vref                            (VectorStep)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000010 s  fb                              (VectorDelay)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000010 s  ai_pi                           (AIPIController)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000010 s  buck                            (BuckConverterBlock)
2026-03-17 16:09:04 [DEBUG  ] EmbedSim.sink — EXEC   step=00009  t=0.000010 s  sink                            (VectorEnd)
