2026-03-19 17:35:22 [INFO   ] EmbedSim.Sink — EmbedSim init  T=0.04 s  dt=1e-05 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\Sink_20260319_173522.log
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000025 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000030 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000030 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000030 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000030 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000030 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000030 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00002  t=0.000030 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000030 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000030 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000030 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000030 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000030 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000030 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000030 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  cg_start                        (CodeGenStart)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Clarke                          (ClarkeTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Theta                           (VectorConstant)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Park                            (ParkTransformBlock)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  cg_end                          (CodeGenEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000035 s  Sink                            (VectorEnd)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000040 s  ThreePhaseSine                  (ThreePhaseGenerator)
2026-03-19 17:35:22 [DEBUG  ] EmbedSim.Sink — EXEC   step=00003  t=0.000040 s  cg_start                        (CodeGenStart)
